GEO_ID,NAME,B19013_001E,B19013_001M
42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",103585,17012
42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",49871,17900
42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",86296,15622
42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",62986,13925
42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",78947,8808
42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",45438,9588
42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",84632,12428
42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",66923,16742
42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",127849,34445
42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",63974,14010
42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",108293,11643
42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",48929,10484
42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",60268,3407
42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",106667,21075
42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",113431,16717
42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",65924,20963
42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania",82107,21015
42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania",122417,38197
42101001202,"Census Tract 12.02, Philadelphia County, Pennsylvania",86667,15025
42101001300,"Census Tract 13, Philadelphia County, Pennsylvania",118351,19912
42101001400,"Census Tract 14, Philadelphia County, Pennsylvania",83317,21700
42101001500,"Census Tract 15, Philadelphia County, Pennsylvania",71174,13421
42101001600,"Census Tract 16, Philadelphia County, Pennsylvania",102778,16804
42101001700,"Census Tract 17, Philadelphia County, Pennsylvania",108750,22133
42101001800,"Census Tract 18, Philadelphia County, Pennsylvania",104821,23991
42101001900,"Census Tract 19, Philadelphia County, Pennsylvania",117927,17116
42101002000,"Census Tract 20, Philadelphia County, Pennsylvania",49572,4398
42101002100,"Census Tract 21, Philadelphia County, Pennsylvania",56625,8051
42101002200,"Census Tract 22, Philadelphia County, Pennsylvania",65368,9494
42101002300,"Census Tract 23, Philadelphia County, Pennsylvania",70926,14954
42101002400,"Census Tract 24, Philadelphia County, Pennsylvania",90682,27954
42101002500,"Census Tract 25, Philadelphia County, Pennsylvania",60000,12066
42101002701,"Census Tract 27.01, Philadelphia County, Pennsylvania",55585,13842
42101002702,"Census Tract 27.02, Philadelphia County, Pennsylvania",69493,13065
42101002801,"Census Tract 28.01, Philadelphia County, Pennsylvania",54340,5563
42101002802,"Census Tract 28.02, Philadelphia County, Pennsylvania",61075,11988
42101002900,"Census Tract 29, Philadelphia County, Pennsylvania",60288,27122
42101003001,"Census Tract 30.01, Philadelphia County, Pennsylvania",50054,7778
42101003002,"Census Tract 30.02, Philadelphia County, Pennsylvania",45060,11862
